experiment,model,metric,paper_mean,paper_std,reproduced_mean,reproduced_std,absolute_difference,relative_difference,paper_parameters,paper_source
A_author_cleaned_code_grid,KNN,mcc,0.806,0.074,0.8083733540617815,0.08120889348523501,0.0023733540617814075,0.00294460801709852,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,KNN,mcc,0.806,0.074,0.8247325363231145,0.059024245849372256,0.018732536323114446,0.02324136020237524,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,SVM,balanced_accuracy,0.963,0.022,0.9578792934675289,0.032325033127400975,0.005120706532471098,0.005317452266325127,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
B_author_cleaned_MCC_grid,SVM,balanced_accuracy,0.963,0.022,0.9578792934675289,0.032325033127400975,0.005120706532471098,0.005317452266325127,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
C_independent_ESM_CleanLab_code_grid,SVM,balanced_accuracy,0.963,0.022,0.9529672165711631,0.019188560321769743,0.010032783428836844,0.010418259012291636,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,SVM,balanced_accuracy,0.963,0.022,0.9301261133559489,0.03135430809770212,0.03287388664405111,0.03413695393982462,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,SVM,recall,0.976,0.024,0.9529423252952665,0.03501605764065028,0.023057674704733522,0.02362466670566959,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
B_author_cleaned_MCC_grid,SVM,recall,0.976,0.024,0.9529423252952665,0.03501605764065028,0.023057674704733522,0.02362466670566959,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
C_independent_ESM_CleanLab_code_grid,SVM,recall,0.976,0.024,0.9701676342580041,0.023643222010863295,0.00583236574199586,0.005975784571717069,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,SVM,recall,0.976,0.024,0.9320070708306002,0.05105430653525914,0.043992929169399786,0.04507472250963093,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,SVM,precision,0.951,0.03,0.9615549401578812,0.04359665831972931,0.010554940157881276,0.0110987803973515,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
B_author_cleaned_MCC_grid,SVM,precision,0.951,0.03,0.9615549401578812,0.04359665831972931,0.010554940157881276,0.0110987803973515,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
C_independent_ESM_CleanLab_code_grid,SVM,precision,0.951,0.03,0.9321720413146559,0.04203800407906436,0.018827958685344037,0.01979806381213884,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,SVM,precision,0.951,0.03,0.9258449587861353,0.03889096343032659,0.025155041213864693,0.026451147438343526,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,SVM,mcc,0.927,0.044,0.9153828545312617,0.06425744432105013,0.011617145468738377,0.012531980009426512,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
B_author_cleaned_MCC_grid,SVM,mcc,0.927,0.044,0.9153828545312617,0.06425744432105013,0.011617145468738377,0.012531980009426512,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
C_independent_ESM_CleanLab_code_grid,SVM,mcc,0.927,0.044,0.9053184308942821,0.03948058002580043,0.021681569105717946,0.023388963436588937,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,SVM,mcc,0.927,0.044,0.8599244883357127,0.061380072372431885,0.06707551166428738,0.0723576177608278,"{'C': 10, 'degree': 1, 'kernel': 'poly', 'tol': 1e-05}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LightGBM,balanced_accuracy,0.942,0.018,0.9400193351656794,0.016557923953522277,0.001980664834320578,0.002102616596943289,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LightGBM,balanced_accuracy,0.942,0.018,0.9418708902495325,0.015003257834969055,0.00012910975046742657,0.0001370591830864401,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LightGBM,recall,0.937,0.026,0.9350299441570789,0.03501800359158271,0.0019700558429212034,0.0021025142400439736,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LightGBM,recall,0.937,0.026,0.9359341253648654,0.033466179099579656,0.0010658746351346338,0.0011375396319473145,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LightGBM,precision,0.947,0.031,0.9425516857846704,0.016963380087328984,0.004448314215329541,0.004697269498764035,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LightGBM,precision,0.947,0.031,0.9461412645758622,0.026818354126287195,0.0008587354241377243,0.0009067955904305432,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
A_author_cleaned_code_grid,LightGBM,mcc,0.883,0.034,0.8797250921233202,0.03412872488505571,0.0032749078766798334,0.0037088424424460173,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
F_TableS2_fixed_parameters,LightGBM,mcc,0.883,0.034,0.8853287090311579,0.02910462306666592,0.002328709031157894,0.0026372695709602424,"{boosting='gbdt', learning_rate=0.5, n_estimators=40,objective='binary', reg_lambda=0}",Supplementary Table S2; caption/body evaluation ambiguity
D_author_LSTM_split42_harness_seed0,LSTM,balanced_accuracy,0.964,0.016,0.9268398268398268,,0.03716017316017317,0.03854789746905931,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
E_independent_LSTM_10_splits,LSTM,balanced_accuracy,0.964,0.016,0.9450399645920813,0.030594925287852057,0.018960035407918685,0.019668086522737226,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
D_author_LSTM_split42_harness_seed0,LSTM,recall,0.96,0.037,0.9142857142857144,,0.045714285714285596,0.0476190476190475,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
E_independent_LSTM_10_splits,LSTM,recall,0.96,0.037,0.9432465056184223,0.0325640552975305,0.016753494381577694,0.017451556647476767,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
D_author_LSTM_split42_harness_seed0,LSTM,precision,0.96,0.039,0.9411764705882352,,0.018823529411764794,0.019607843137254995,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
E_independent_LSTM_10_splits,LSTM,precision,0.96,0.039,0.9479569942011892,0.043217749322993326,0.01204300579881079,0.012544797707094574,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
D_author_LSTM_split42_harness_seed0,LSTM,mcc,0.924,0.029,0.8533103351879247,,0.07068966481207539,0.07650396624683484,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
E_independent_LSTM_10_splits,LSTM,mcc,0.924,0.029,0.8914438965320934,0.062443013868243795,0.032556103467906605,0.035233878212020134,Described in the paper,Supplementary Table S2; caption/body evaluation ambiguity
